episode,avg_reward,avg_loss,avg_q_value,epsilon,buffer_size,timestamp
97,-7.5521,6.00533,-13.43814,0.05,9700,1788934852.759
98,-9.5548,5.96819,-14.62227,0.05,9800,1788934879.667
99,-1.3105,6.08983,-14.20953,0.05,9900,1788934905.197
100,-6.7228,5.79736,-14.41354,0.05,10000,1788934934.183
101,-8.8448,5.8547,-14.78422,0.05,10000,1788934964.817
102,-7.5872,5.65313,-15.75046,0.05,10000,1788934994.028
103,-11.1486,5.63356,-16.01864,0.05,10000,1788935021.384
104,-11.1761,5.36961,-16.27227,0.05,10000,1788935047.481
105,-8.8442,5.44757,-16.20611,0.05,10000,1788935079.965
106,-10.409,5.42801,-16.45406,0.05,10000,1788935107.447
107,-9.9804,5.61923,-16.19248,0.05,10000,1788935135.825
108,-10.0041,5.48043,-15.67399,0.05,10000,1788935164.076
109,-14.1531,5.54526,-15.46041,0.05,10000,1788935192.887
110,-19.7798,5.43049,-15.7783,0.05,10000,1788935221.903
111,-24.2923,5.26627,-15.59709,0.05,10000,1788935260.458
112,-14.8396,4.91554,-15.91479,0.05,10000,1788935298.687
113,-11.3905,5.08889,-15.48414,0.05,10000,1788935328.343
114,-11.592,4.99902,-15.44994,0.05,10000,1788935359.393
115,-11.0739,5.10832,-15.27177,0.05,10000,1788935389.287
116,-11.6132,5.14816,-15.16081,0.05,10000,1788935420.026
117,-11.1939,4.87881,-15.08098,0.05,10000,1788935452.058
118,-13.7578,5.07083,-14.90641,0.05,10000,1788935482.856
119,-16.7799,5.05844,-14.96076,0.05,10000,1788935515.403
120,-10.6164,4.90653,-14.78829,0.05,10000,1788935546.604
121,-16.3732,4.77729,-14.22529,0.05,10000,1788935579.735
122,-13.156,4.61192,-14.05537,0.05,10000,1788935622.689
123,-6.3153,4.63091,-14.28521,0.05,10000,1788935661.108
124,-7.0218,4.62212,-14.0217,0.05,10000,1788935709.454
125,-8.9327,4.52805,-14.18874,0.05,10000,1788935750.382
126,-2.7791,4.56714,-13.70812,0.05,10000,1788935793.751
127,-11.5051,4.43507,-13.713,0.05,10000,1788935834.605
128,-19.7272,4.46749,-13.65965,0.05,10000,1788935878.04
129,-15.0279,4.42515,-13.44149,0.05,10000,1788935916.315
130,-11.9487,4.31217,-13.54779,0.05,10000,1788935952.829
131,-15.9245,4.13296,-13.25002,0.05,10000,1788935989.836
132,-18.0488,4.11888,-13.17486,0.05,10000,1788936029.925
133,-14.0666,4.23439,-13.06934,0.05,10000,1788936068.844
134,-7.616,4.02321,-13.40426,0.05,10000,1788936106.32
135,-6.8912,3.99859,-12.99344,0.05,10000,1788936146.51
136,-4.5479,3.82592,-13.38319,0.05,10000,1788936185.517
137,-9.769,3.85044,-13.10085,0.05,10000,1788936223.315
138,-9.5302,3.9138,-13.23048,0.05,10000,1788936265.017
139,-3.8395,3.77508,-13.67855,0.05,10000,1788936303.552
140,-10.3326,3.83355,-12.90368,0.05,10000,1788936346.212
141,-22.6771,3.77384,-13.10128,0.05,10000,1788936389.402
142,-25.554,3.86988,-13.11028,0.05,10000,1788936430.291
143,-20.8023,3.87897,-13.32874,0.05,10000,1788936471.649
144,-24.5845,3.71437,-13.4865,0.05,10000,1788936514.799
145,-29.065,3.82584,-13.32831,0.05,10000,1788936553.558
146,-19.4361,3.70119,-13.68986,0.05,10000,1788936604.633
147,-7.1963,3.65343,-14.084,0.05,10000,1788936641.162
148,-2.1681,3.7468,-14.11277,0.05,10000,1788936677.337
149,-1.5989,3.77257,-13.66265,0.05,10000,1788936713.933
150,-7.9277,3.71032,-13.61766,0.05,10000,1788936750.499
151,14.37,4.90016,103.16286,0.05,100,1788939092.647
152,11.4791,5.90912,68.96802,0.05,200,1788939097.926
153,4.9647,5.97759,44.61124,0.05,300,1788939103.159
154,-9.225,5.58356,28.98473,0.05,400,1788939109.454
155,-13.0256,6.14203,17.42412,0.05,500,1788939115.789
156,-7.6165,5.76666,8.62726,0.05,600,1788939121.641
157,-4.3416,5.34481,5.5027,0.05,700,1788939127.93
158,-4.8083,5.28956,2.65889,0.05,800,1788939135.215
159,-8.759,5.43495,0.9607,0.05,900,1788939142.87
160,-6.6494,5.34283,-0.89938,0.05,1000,1788939150.902
161,-13.0673,5.87275,-4.9928,0.05,1100,1788939159.245
162,-23.6749,5.43774,-8.93301,0.05,1200,1788939167.759
163,-22.6254,5.33318,-12.35857,0.05,1300,1788939175.017
164,-20.9101,5.19704,-17.69067,0.05,1400,1788939186.593
165,-21.5476,4.99529,-20.14245,0.05,1500,1788939195.235
166,-22.1409,4.82716,-23.49876,0.05,1600,1788939204.719
167,-20.4614,4.82408,-25.13374,0.05,1700,1788939214.297
168,-26.5496,4.79981,-25.30616,0.05,1800,1788939224.091
169,-25.345,4.67821,-30.03566,0.05,1900,1788939234.188
170,-16.8472,4.46901,-31.22632,0.05,2000,1788939244.655
171,-13.3109,7.04725,-45.19239,0.05,2100,1788939255.725
172,-12.5967,4.57284,-41.31981,0.05,2200,1788939266.635
173,-15.3075,4.56197,-41.70444,0.05,2300,1788939277.397
174,-20.4116,4.49003,-44.23634,0.05,2400,1788939288.712
175,-28.2257,4.49502,-46.74787,0.05,2500,1788939302.319
176,-36.4659,4.38127,-50.20751,0.05,2600,1788939315.855
177,-36.9734,4.38766,-52.68861,0.05,2700,1788939328.211
178,-27.7277,4.40305,-55.56953,0.05,2800,1788939342.383
179,-14.1343,4.43455,-56.92282,0.05,2900,1788939357.143
180,-12.0876,4.50745,-54.72449,0.05,3000,1788939371.942
181,-17.8096,7.24127,-69.92522,0.05,3100,1788939387.512
182,-10.7787,4.56144,-69.43521,0.05,3200,1788939403.099
183,-5.8114,4.24462,-67.12516,0.05,3300,1788939417.719
184,-12.2692,4.21787,-69.12004,0.05,3400,1788939434.362
185,-18.8802,4.19824,-66.60726,0.05,3500,1788939450.063
186,-25.7228,4.20227,-66.33779,0.05,3600,1788939467.048
187,-27.1927,5.69717,-69.09495,0.05,3700,1788939482.511
188,-11.8592,7.05479,-73.49935,0.05,3800,1788939496.621
189,-7.8423,7.27489,-66.03394,0.05,3900,1788939511.343
190,-20.6227,9.11674,-68.89424,0.05,4000,1788939526.296
191,-27.2593,13.58192,-76.28359,0.05,4100,1788939541.213
192,-33.9457,13.54707,-74.23613,0.05,4200,1788939556.419
193,-48.0569,15.25576,-73.67333,0.05,4300,1788939570.139
194,-66.6799,15.66911,-74.86469,0.05,4400,1788939585.86
195,-89.2449,16.53568,-74.63334,0.05,4500,1788939610.835
196,-111.6781,16.41224,-71.35267,0.05,4600,1788939633.099
197,-134.0632,13.1396,-70.62103,0.05,4700,1788939653.82
198,-153.8194,11.25369,-70.79796,0.05,4800,1788939670.533
199,-159.7407,11.41065,-71.58095,0.05,4900,1788939692.292
200,-158.948,11.86096,-72.39564,0.05,5000,1788939709.618
